id;name;description;category;price
1;Supervisor Berkshire;azure;Global;87405
2;McDonald;Bedfordshire Tuna;Concrete killer;71410
3;Loan integrated;Bedfordshire;portal Sausages;61278
4;Games Granite Shirt;purple back;Pizza District intermediate;27787
5;frictionless;Wall;Vista;62480
6;Shirt out-of-the-box Triple-buffered;Salad Chips;generating IB;56364
7;Mississippi Hawaii;Paradigm open-source;Digitized Orchard impactful;28047
8;Practical;content;copy;37090
9;best-of-breed Down-sized;Supervisor Loan;bypass Distributed;66465
10;monitor Grass-roots fuchsia;magenta;of strategic;38689
